OBJECTID,Site_Description,Date_Sample_Collected,Test_Name,Species_Group,Result_Name,Result_Value_String,Result_Value_Numeric,Units,Result_Label
756,Grange Jetty,2025-07-02,Algal Count - Total,,Results summary,"A mix of planktonic diatoms (Asterionellopsis, Cyclotella, Guinardia), benthic diatoms (Cylindrotheca) and small flagellates (cryptomonads, dinoflagellates, prymnesiophytes, ochromonads).  ",,,"A mix of planktonic diatoms (Asterionellopsis, Cyclotella, Guinardia), benthic diatoms (Cylindrotheca) and small flagellates (cryptomonads, dinoflagellates, prymnesiophytes, ochromonads).  "
757,Grange Jetty,2025-07-02,Algal Count - Total,,Potentially harmful species,Detected,,,Detected
758,Grange Jetty,2025-07-02,Algal Count - Total,,Total Phytoplankton > 5 micrometres,,1610000,Cells/L,"1,610,000 Cells/L"
759,Grange Jetty,2025-07-02,Algal Identification,Diatoms,Pseudo-nitzschia delicatissima group,,,Cells/L,Not detected
760,Grange Jetty,2025-07-02,Algal Identification,Diatoms,Pseudo-nitzschia pungens/multiseries,,,Cells/L,Not detected
761,Grange Jetty,2025-07-02,Algal Identification,Diatoms,Pseudo-nitzschia subcurvata,,,Cells/L,Not detected
762,Grange Jetty,2025-07-02,Algal Identification,Diatoms,Rhizosolenia  imbricata group,,,Cells/L,Not detected
763,Grange Jetty,2025-07-02,Algal Identification,Dinoflagellates,Azadinium/Heterocapsa sp.,,6000,Cells/L,"6,000 Cells/L"
764,Grange Jetty,2025-07-02,Algal Identification,Dinoflagellates,Dinophysis acuminata,,50,Cells/L,50 Cells/L
765,Grange Jetty,2025-07-02,Algal Identification,Dinoflagellates,Dinophysis caudata,,450,Cells/L,450 Cells/L
766,Grange Jetty,2025-07-02,Algal Identification,Dinoflagellates,Gonyaulax spinifera,,,Cells/L,Not detected
767,Grange Jetty,2025-07-02,Algal Identification,Dinoflagellates,Karenia sp.,,1100,Cells/L,"1,100 Cells/L"
768,Grange Jetty,2025-07-02,Algal Identification,Dinoflagellates,Karlodinium spp.,,,Cells/L,Not detected
769,Grange Jetty,2025-07-02,Algal Identification,Dinoflagellates,Noctiluca  scintillans,,,Cells/L,Not detected
770,Grange Jetty,2025-07-02,Algal Identification,Dinoflagellates,Phalacroma rotundatum,,,Cells/L,Not detected
771,Grange Jetty,2025-07-02,Algal Identification,Dinoflagellates,Prorocentrum cordatum,,,Cells/L,Not detected
772,Grange Jetty,2025-07-02,Algal Identification,Dinoflagellates,Prorocentrum dentatum,,,Cells/L,Not detected
773,Grange Jetty,2025-07-02,Algal Identification,Dinoflagellates,Takayama spp.,,100,Cells/L,100 Cells/L
