Location,Latitude,Longitude,Date,CHLOROCOCCALES,COLONIAL & FILAMENTOUS chlorophyceae & charophyceae,FLAGELLATED unicellular chlorophyceae,EUGLENOPHYCEAE & PRASINOPHYCEAE flagellates ,CRYPTOPHYCEAE flagellates,DINOPHYCEAE flagellates,Subcount of Karenia spp,Other golden-brown chromophyte flagellates,BACILLARIOPHYCEAE (diatoms},"Solitary, colonial and filamentous blue greens (> 3-5um)",Picoplankton (<3-5um),"Zooplankton, rotifers, forams, protozoa",TOTAL PLANKTON
Victor Harbor,-35.55852,138.623,22/03/2025,,,,,,25560,25560,,560,,,,26120
Ardrossan,-34.42382,137.92412,15/05/2025,,,,37,74,74,0,,37,,333,,556
Sheaoak Flat, -34.70358,137.87817,15/05/2025,,,,37,185,1481,481,259,185,,1407,,3556
"Brownlow Beach, Kangaroo Island",-35.67209,137.61358,23/05/2025,,,,,,167,0,,1278,167,2333,,3944
Ardrossan,-34.42382,137.92412,24/05/2025,,,,83,250,861,222,28,139,,1178,28,3167
Ardrossan,-34.42382,137.92412,29/05/2025,,,,,194,222,28,56,806,28,417,28,1750
Ardrossan,-34.42382,137.92412,7/06/2025,,,,194,167,500,83,,1083,,667,,2611
Sheaoak Flat,-34.70358,137.87817,7/06/2025,,,,,333,1111,0,56,7222,1167,,56,9944
"West Lakes, southern inlet",-34.89383,138.49006,22/06/2025,,,56,,194,111,28,917,139,,1778,28,3222
Garden Island Small Boat Club,-34.802859,138.531958,29/06/2025,,,,,,222,0,,250,56,,,556
Garden Island boat ramp,-34.804799,138.540256,29/06/2025,,,,,28,56,0,,56,,,,140
"West Lakes, southern inlet",-34.89383,138.49006,3/07/2025,,,,333,1000,389,56,722,111,,4000,28,6583
"West Lakes, south end Delfin Island",-34.876789,138.488035,3/07/2025,,,56,1389,1111,306,0,611,28,,5333,56,8889
"West Lakes, near stormwater inlet",-34.877486,138.497854,3/07/2025,,,,778,278,,0,,,,1000,,2056
"West Lakes, northern end",-34.852471,138.498412,3/07/2025,,,,111,944,333,0,111,,,778,28,2306
"Onkaparinga, SSLC footbridge",-35.16014,138.47194,3/07/2025,,,,389,111,417,83,167,111,56,167,,1417
"Onkaparinga, Saltfleet Bridge",-35.15203,138.47328,3/07/2025,,,,28,111,83,0,56,139,,194,,611
Ardrossan,-34.42382,137.92412,4/07/2025,,,,,278,889,444,167,194,,,28,1556
"Bald Hill Beach, Port Wakefield",-34.274155,138.187037,11/07/2025,,,,28,28,,0,,528,,,,583
"Swan Alley, Barker Inlet",-34.791704,138.553224,13/07/2025,,,,333,778,1778,389,1056,6889,111,,222,11167
St Kilda boat ramp,-34.74426,138.53463,18/07/2025,,,,778,1778,333,111,611,1833,,722,,6056
Outer Harbor Yacht squadron,-34.773001,138.485403,18/07/2025,,,,59,412,1235,882,353,176,,235,118,2588
"The Cutting, east end, Barker Inlet/Section Bank",-34.755813,138.516817,18/07/2025,,,,57,257,314,114,143,29,28,,29,857
"Thompson Beach, 1 km offshore",-34.49417,138.27999,20/07/2025,,,,389,167,1444,1111,222,444,,56,,2722
"Freshwater Creek (Bolivar outfall, mouth)",-34.70005,138.47494,20/07/2025,2444,,111,222,111,1167,500,772,4333,56,13500,56,22722
"Freshwater Creek (Bolivar outfall, 500m offshore)",-34.70303,138.46861,20/07/2025,,,111,778,778,3000,1556,2111,1111,,1111,222,9222
"Hardwicke Bay, Spencer Gulf east",-34.88923,137.44829,25/07/2025,,,,14,,,0,14,125,97,375,,625
St Kilda Mangrove Trail pool,-34.74574,138.5383,28/07/2025,,,,167,56,778,0,,1000,,,111,2111
Outer Harbor Yacht squadron,-34.773001,138.485403,28/07/2025,,,,,222,1944,1500,667,3917,,,111,6861
"Port River, gas pipeline opp Mutton Cover",-34.78115,138.51647,28/07/2025,,,,56,278,1389,556,722,2222,,,56,4722
"The Cutting (Torrens Island), Port River end",-34.759534,138.510262,28/07/2025,,,,,278,944,444,333,3722,,,167,5444
