Site_Description,Latitude,Longitude
Largs Bay Jetty,-34.82386667,138.4827
Grange Jetty,-34.90266667,138.4857833
Glenelg Jetty,-34.9804999999999,138.5080333
O’Sullivan Beach Boat Ramp,-35.11966667,138.46725
Onkaparinga Rowing Club,-35.152,138.4719833
Patawalonga King St Bridge,-34.9714999999999,138.5128333
Port River Dock One,-34.841,138.5074667
Port River Garden Island Boat Ramp,-34.80466667,138.54025
Port River North Haven Boat Ramp,-34.7946666699999,138.4867667
Port River Outer Harbour Boat Ramp,-34.774,138.4860833
Port River St Kilda Boat Ramp,-34.7433333299999,138.53585
West Lakes Inlet,-34.89383333,138.4899333
West Lakes Bartley Tce Footbridge,-34.881,138.48845
West Lakes Lochside Footbridge,-34.8753333299999,138.4997333
West Lakes Exit,-34.8524999999999,138.4983833
West Beach Boat Ramp,-34.95783333,138.5039667
SARDI Caisson Intake,-34.95643574,138.49469724
Mundoo Barrage Upstream,-35.541673,138.905548
Mundoo Barrage Downstream,-35.541668,138.905273
Parnka Point Boat Ramp,-35.902023,139.395848
Stoney Well,-35.974997,139.503803
Snipe Point,-36.1104449999999,139.604581
1.8km West Salt Creek,-36.1325369999999,139.620593
Mark Point,-35.6342349999999,139.075728
Long Point,-35.6957809999999,139.161775
Bonneys,-35.796612,139.317545
Villa de Yumpa,-35.928158,139.438969
Nth Jack Point,-36.037024,139.54967
Salt Creek Outlet,-36.1345579999999,139.635705
Noonameena,-35.758163,139.261728
Lake Alexandrina at 7km SE Milang,-35.4372699999999,139.03982
Lake Alexandrina at Milang Jetty,-35.4059499999999,138.97741
Murray Mouth,-35.556691,138.881804
Tauwitchere Barrage Downstream,-35.590186,139.015597
Tauwitchere Barrage Upstream,-35.5897629999999,139.015651
Sth Policeman Point,-36.0851339999999,139.583338
Lake Alexandrina at 4km West Pomanda Point,-35.42976,139.26869
Lake Alexandrina at Beacon 95,-35.5148099999999,139.06475
McGrath Flat adjacent Rabbit Island,-35.85268467,139.38696391
Morella Creek @ gauge,-36.12488564,139.65327384
Port Noarlunga Jetty,-35.1492741219999,138.464338643
Wirrina Breakwater,-35.4995868099999,138.23857904
Rapid Bay Jetty,-35.5213256199999,138.18538594
Whyalla Marina,-33.0405713489999,137.59133297100004
Port Lowly Marina,-32.9926872729999,137.78335102800008
Black Point,-32.9913857159999,137.72027745600008
GSV25_036,-34.5309229319999,138.04926601400007
GSV25_066,-34.6302083699999,138.113410239
GSV25_090,-34.6742499789999,138.3575572740001
GSV25_129,-34.7492895139999,138.36062637600003
GSV25_203,-34.8804936089999,138.12185026800012
GSV25_466,-35.2484788959999,138.44057647400007
GSV25_517,-35.3511403459999,138.35280016700003
GSV25_552,-35.4567174419999,138.142413249
GSV25_571,-35.5052092479999,138.20517637800003
Spencer Gulf Site 1,-33.2244199999999,137.4819470000001
Spencer Gulf Site 2,-33.2392469999999,137.4717220000001
Spencer Gulf Site 3,-33.2575239999999,137.4696540000001
Spencer Gulf Site 4,-33.2604129999999,137.47871500000008
Spencer Gulf Site 5,-33.2449889999999,137.4827090000001
Spencer Gulf Site 6,-33.2308739999999,137.49722300000008
Ardrossan Jetty,-34.4251343479999,137.925821927
Marion Bay Jetty,-35.2379675279999,136.98445464100007
Port Victoria Jetty,-34.4950744639999,137.479294599
Point Turton Jetty,-34.9333064669999,137.35304853600007
Wallaroo Jetty,-33.9263600679999,137.61821009400012
Port Augusta Wharf,-32.4907384129999,137.7586979900001
Encounter Bay Boat Ramp,-35.5852825109999,138.59883299600003
Port Elliot Jetty,-35.5352001299999,138.68442017600012
American River,-35.77803333,137.79085
Boston Bay,-34.65716667,135.8986
Bickers Island,-34.7509,135.9533167
Coffin Bay,-34.61835,135.4743833
Coorong,-35.7319239999999,139.165566
Coobowie,-35.0581499999999,137.75245
Denial Bay,-32.1270999999999,133.5992333
Haslam,-32.5305333299999,134.1947667
Kellidie Bay East,-34.60816667,135.4907167
Lower Eyre,-34.6577333299999,135.9499
Mount Dutton Bay,-34.5744166699999,135.4367167
Proper Bay,-34.78833333,135.88075
Port Douglas,-34.5461666699999,135.3783833
Port Vincent,-34.7642666699999,137.89155
Smoky Bay,-32.33841667,133.8951667
Smoky Bay - Waterwitch,-32.3759666699999,133.8885167
St Peters Island,-32.2159499999999,133.6883667
Stansbury,-34.8984499999999,137.82555
Streaky Bay - Blancheport,-32.7371333299999,134.2298833
Franklin Harbour,-33.70248333,136.9359833
Franklin Harbour,-33.7079666699999,136.92615
Franklin Harbour,-33.7274833299999,136.90825
Franklin Harbour,-33.7473,136.9141667
Franklin Harbour,-33.7396,136.9021167
Franklin Harbour,-33.75216667,136.9048833
Venus Bay,-33.22236667,134.6725667
Wardang Island,-34.5070791099999,137.42466540100008
Western Cove,-35.7276166679999,137.657283333
Streaky Bay - Hummocks,-32.7184000009999,134.2014166670001
Streaky Bay - Eba Island,-32.6420833339999,134.24031666700012
Whyalla WH-A,-33.2790099999999,137.46897
Whyalla WH-B,-33.1142499999999,137.5482800000001
Whyalla WH-C,-33.0656599999999,137.62698000000012
Whyalla WH-D,-33.0253899999999,137.69600000000003
Whyalla WH-E,-32.9966999999999,137.74773000000005
Tumby Bay Jetty,-34.3774591909999,136.10705408
Whyalla Jetty,-33.0430623009999,137.593726983
Arno Bay Jetty,-33.9185064719999,136.57627252400005
Fitzgerald Bay,-32.9926414729999,137.783275708
Kingscote Jetty,-35.6557975139999,137.64655721300005
Emu Bay Jetty,-35.5909160189999,137.5067461000001
Brighton Jetty,-35.0174880749999,138.51209369600008
Myponga,-35.3705499999999,138.38451700000007
Hallett Cove,-35.0735279999999,138.494139
Port Noarlunga,-35.1498329999999,138.4648330000001
Aldinga Snapper Point,-35.2690669999999,138.43311700000004
Aldinga Beach,-35.2634349999999,138.45601900000008
Munyaroo MD1,-33.4365833329999,137.39168333300006
Munyaroo MD2,-33.3724666669999,137.4136000000001
Munyaroo MD3,-33.3194666669999,137.4021166670001
Munyaroo MD4,-33.4005166669999,137.45598333300006
Munyaroo MD5,-33.3302499999999,137.47265000000004
Munyaroo MD6,-33.2337666669999,137.46836666700003
Munyaroo MD7,-33.4725999999999,137.41771666700004
Munyaroo MD8,-33.4992333329999,137.3487500000001
McGrath Flat North,-35.8689426589999,139.3894598180001
Penneshaw Breakwater,-35.7165978849999,137.94413994600006
Port MacDonnell Jetty,-38.0566517299999,140.7026412900001
Cable Bay,-35.2862699999999,136.89943000000005
Henley Beach Jetty 300 m Offshore,-34.9200919999999,138.48489000000006
Henley Beach Jetty 500 m Offshore,-34.9202279999999,138.48070000000007
Henley Beach Jetty Surf Zone,-34.9195599999999,138.49292800000012
Henley Beach Jetty 1 NM Offshore,-34.9206799999999,138.47055800000007
Marino 1,-35.0446099999999,138.50813000000005
Marino 2,-35.0451999999999,138.5080600000001
Marino 3,-35.0438999999999,138.50840000000005
Port Lincoln Salmon Pty Ltd,-35.0086099999999,136.18889
Robe Breakwater,-37.1593282369999,139.75290613700008
Cape Jaffa Jetty,-36.9396869369999,139.68792753800005
Seacliff 1,-35.0342000009999,138.51652
Seacliff 2,-35.0364800009999,138.5157700000001
Seacliff 3,-35.0333700009999,138.51630000000011
Henley Beach 1,-34.9143900009999,138.4911400000001
Henley Beach 2,-34.9137100009999,138.49057000000005
Henley Beach 3,-34.9155900009999,138.49134000000004
Parham 1,-34.4372400009999,138.25647000000004
Parham 2,-34.4310400009999,138.25613000000007
Parham 3,-34.4337800009999,138.2567200000001
Port Noarlunga 1,-35.1529990009999,138.4688060000001
Port Noarlunga 2,-35.1540410009999,138.46871200000007
Port Noarlunga 3,-35.1522050009999,138.46887700000002
West Beach 1,-34.9420999999999,138.4983900000001
West Beach 2,-34.9411199999999,138.49832000000004
West Beach 3,-34.9427899999999,138.49881000000005
Port River 1,-34.8421099999999,138.49570000000003
Port River 2,-34.8434499999999,138.4960400000001
Port River 3,-34.8452499999999,138.4957700000001
Stansbury ad hoc,-34.9289499999999,137.84987
Aldinga Fishkill 3,-35.31512,138.4475
Aldinga Fishkill 1,-35.31607,138.44753
Aldinga Fishkill 2,-35.3169499999999,138.44772
Largs Fishkill 1,-34.82079,138.48588
Largs Fishkill 2,-34.8200399999999,138.48513
Largs Fishkill 3,-34.8215599999999,138.48562
Robe Long Beach Boatswains Point,-37.1629999999999,139.75200000000007
Robe Long Beach Middle,-37.1569999999999,139.8030000000001
Robe Long Beach South Town End,-37.1649999999999,139.78100000000006
Pt. Clinton 1,-34.2289999999999,138.01483
Pt. Clinton 2,-34.22914,138.01613
Pt. Clinton 3,-34.2299,138.01423
Coorong,-35.62632389,138.99736944
Coorong,-35.85587944,139.32745333
Moana 1 Fish Kill,-35.2012099999999,138.47021000000007
Moana 2 Fish Kill,-35.2021499999999,138.47031000000004
Moana 3 Fish Kill,-35.2006099999999,138.4701100000001
North Brighton 1 Fish Kill,-35.0310299999999,138.51614000000006
North Brighton 2 Fish Kill,-35.0299099999999,138.51615000000004
North Brighton 3 Fish Kill,-35.0319599999999,138.51624000000004
Coorong,-35.5803905399999,138.91596365000007
Vivonne Bay,-35.99569941,137.18470155
Coorong,-35.5566441199999,138.88048059000005
Port Clinton Fishkill 1,-34.2287,138.0281
Port Clinton Fishkill 2,-34.2610299999999,138.029
Port Clinton Fishkill 3,-34.2274999999999,138.0296
Christies Beach Fishkill 1,-35.1317,138.4703
Christies Beach Fishkill 2,-35.1332999999999,138.47
Christies Beach Fishkill 3,-35.136,138.4692
Tailem Bend Fishkill 2,-35.2569,139.4539
Tailem Bend Fishkill 3,-35.2580999999999,139.4546
Coorong,-35.58652278,138.91306329
Coorong,-35.9103489999999,139.386535
Washpool Rd Fishkill 1,-35.2948999999999,139.43367
Washpool Rd Fishkill 2,-35.29609,139.43071
Washpool Rd Fishkill 3,-35.29702,139.42803
HAB 01,-33.5999999999999,137.47000000000003
HAB 02,-33.7250155299999,137.31399940000003
HAB 03,-33.8498316799999,137.15756650000003
HAB 04,-33.9744471099999,137.00070000000005
HAB 05,-34.0988604799999,136.8433990000001
HAB 06,-34.2230704499999,136.68566210000003
HAB 07,-34.3470756799999,136.52748840000004
HAB 08,-34.4708748599999,136.3688767000001
HAB 09,-33.7739022499999,137.41136640000002
HAB 10,-33.9477567599999,137.35250630000007
HAB 11,-34.1215617599999,137.29341850000003
HAB 12,-34.2953154699999,137.23410160000003
HAB 13,-34.4690160899999,137.1745545000001
HAB 14,-34.6426618599999,137.1147757000001
HAB 15,-34.8162509699999,137.0547640000001
HAB 16,-34.4594473999999,138.0000000000001
HAB 17,-34.6599999999999,138.05600000000004
HAB 18,-34.8321265899999,137.9900956
HAB 19,-35.0041894299999,137.9239361000001
HAB 20,-35.1761867499999,137.85751990000003
HAB 21,-35.3481167799999,137.79084580000003
HAB 22,-35.5199777399999,137.7239122000001
